Column1,X1,X2,X3,X4,X5
3,0,0,0.046025105,0.087866109,0.866108787
4,0,0,0.058186739,0.092016238,0.849797023
5,0,0,0.089309878,0.106901218,0.803788904
7,0,0,0.088274045,0.052700922,0.859025033
8,0,0,0.04610951,0.089337176,0.864553314
9,0,0,0.100942127,0.092866756,0.806191117
10,0,0,0.063858696,0.082880435,0.85326087
13,0,0,0.081879195,0.087248322,0.830872483
14,0,0,0.081989247,0.108870968,0.809139785
15,0,0,0.079015544,0.093264249,0.827720207
16,0,0,0.088068182,0.115056818,0.796875
17,0,0,0.070054945,0.074175824,0.855769231
19,0,0,0.082402235,0.041899441,0.875698324
20,0,0,0.090780142,0.04964539,0.859574468
22,0,0,0,0,1
25,0,0,0,0,1
28,0,0,0,0,1
29,0,0,0,0,1
31,0,0,0,0,1
32,0,0,0,0,1
34,0,0,0,0,1
35,0,0,0,0,1
37,0,0,0,0,1
38,0,0,0,0,1
39,0,0,0,0,1
41,0,0,0.058414465,0.11961057,0.821974965
42,0,0,0.063800277,0.153952843,0.782246879
43,0,0,0.057931034,0.157241379,0.784827586
44,0,0,0.067948718,0.178205128,0.753846154
46,0,0,0.068119891,0.201634877,0.730245232
47,0,0,0.050198151,0.188903567,0.760898283
48,0,0,0.06401138,0.116642959,0.819345661
49,0,0,0.070503597,0.197122302,0.732374101
50,0,0,0.045205479,0.169863014,0.784931507
51,0,0,0.079155673,0.14116095,0.779683377
54,0,0,0.072931276,0.113604488,0.813464236
55,0,0,0.066037736,0.185983827,0.747978437
56,0,0,0.06374502,0.143426295,0.792828685
57,0,0,0.07133059,0.14266118,0.78600823
58,0,0,0.084931507,0.197260274,0.717808219
60,0,0,0.067349927,0.133235725,0.799414348
62,0,0,0,0,1
64,0,0,0,0,1
65,0,0,0,0,1
66,0,0,0,0,1
67,0,0,0,0,1
68,0,0,0,0,1
71,0,0,0,0,1
72,0,0,0,0,1
73,0,0,0,0,1
74,0,0,0,0,1
76,0,0,0,0,1
77,0,0,0,0,1
78,0,0,0,0,1
80,0,0,0,0,1
85,0,0,0,0,1
87,0,0,0,0,1
88,0,0,0,0,1
91,0,0,0,0,1
92,0,0,0,0,1
94,0,0,0,0,1
95,0,0,0,0,1
96,0,0,0,0,1
97,0,0,0,0,1
98,0,0,0,0,1
100,0,0,0,0,1
101,0,0,0.065508021,0.189839572,0.744652406
102,0,0,0.036842105,0.163157895,0.8
104,0,0,0.030789826,0.187416332,0.781793842
105,0,0,0.069767442,0.147742818,0.78248974
106,0,0,0.051246537,0.156509695,0.792243767
108,0,0,0.062937063,0.188811189,0.748251748
110,0,0,0.044715447,0.162601626,0.792682927
111,0,0,0.072463768,0.113043478,0.814492754
112,0,0,0.041059603,0.164238411,0.794701987
115,0,0,0.046025105,0.170153417,0.783821478
116,0,0,0.070422535,0.2,0.729577465
117,0,0,0.035714286,0.202857143,0.761428571
119,0,0,0.061366806,0.210599721,0.728033473
121,0.006963788,0.006963788,0.051532033,0.157381616,0.777158774
122,0.022666667,0.009333333,0.017333333,0.165333333,0.785333333
125,0.025815217,0.004076087,0.055706522,0.076086957,0.838315217
126,0.025367156,0.005340454,0.053404539,0.212283044,0.703604806
127,0.036363636,0.007792208,0.071428571,0.214285714,0.67012987
128,0.034300792,0.007915567,0.059366755,0.213720317,0.68469657
129,0.034946237,0.010752688,0.072580645,0.252688172,0.629032258
130,0.018716578,0,0.048128342,0.169786096,0.763368984
131,0.005457026,0.008185539,0.045020464,0.175989086,0.765347885
132,0.032786885,0.008196721,0.057377049,0.084699454,0.816939891
134,0.04341534,0.005788712,0.06512301,0.22431259,0.661360347
135,0.028129395,0,0.011251758,0.168776371,0.791842475
136,0.028497409,0.006476684,0.054404145,0.089378238,0.821243523
137,0.034246575,0.006849315,0.060273973,0.090410959,0.808219178
140,0.026798307,0.007052186,0.067700987,0.212976023,0.685472496
141,0,0,0,0.001373626,0.998626374
144,0,0,0,0.002820874,0.997179126
145,0,0,0,0.001317523,0.998682477
148,0,0,0,0,1
149,0,0,0,0.001358696,0.998641304
152,0,0,0,0.001308901,0.998691099
154,0,0,0,0.001312336,0.998687664
155,0,0,0,0.00281294,0.99718706
156,0,0,0,0,1
158,0,0,0,0.002773925,0.997226075
160,0,0,0,0.001398601,0.998601399
163,0,0,0,0,1
164,0,0,0,0,1
165,0,0,0,0,1
166,0,0,0,0,1
167,0,0,0,0,1
168,0,0,0,0,1
169,0,0,0,0,1
170,0,0,0,0,1
171,0,0,0,0,1
172,0,0,0,0,1
173,0,0,0,0,1
174,0,0,0,0,1
175,0,0,0,0,1
176,0,0,0,0,1
177,0,0,0,0,1
178,0,0,0,0,1
184,0,0,0,0,1
185,0,0,0,0,1
187,0,0,0,0,1
188,0,0,0,0,1
189,0,0,0,0,1
190,0,0,0,0,1
192,0,0,0,0,1
194,0,0,0,0,1
195,0,0,0,0,1
196,0,0,0,0,1
197,0,0,0,0,1
198,0,0,0,0,1
199,0,0,0,0,1
200,0,0,0,0,1
203,0,0,0.001355014,0.017615176,0.98102981
