"","model2.y","model2.predicted","X1","X2","X3","X4","X5"
"582","4","5",0,0,0,0,1
"2044","4","5",0,0,0,0,1
"2418","4","5",0,0,0,0,1
"427","4","5",0,0,0.0483221476510067,0.21744966442953,0.734228187919463
"1402","4","5",0,0,0,0,1
"1944","5","5",0,0,0,0,1
"262","5","5",0,0,0,0,1
"2424","3","5",0,0,0,0,1
"1782","3","5",0,0,0,0,1
"325","5","5",0,0,0.0505992010652463,0.272969374167776,0.676431424766977
"1518","3","5",0,0,0,0.0152565880721221,0.984743411927878
"2111","4","5",0,0,0,0,1
"177","5","5",0,0,0,0,1
"1422","5","5",0,0,0,0,1
"1936","4","5",0,0,0.0803814713896458,0.0463215258855586,0.873297002724796
"1840","5","5",0,0,0,0,1
"2362","4","5",0,0,0,0,1
"1717","4","5",0,0,0,0,1
"290","2","5",0,0,0,0.00134589502018843,0.998654104979812
"1962","5","5",0,0,0.00140449438202247,0.0280898876404494,0.970505617977528
"2551","5","5",0,0,0,0,1
"1911","1","3",0.0244604316546763,0.0820143884892086,0.730935251798561,0.125179856115108,0.037410071942446
"292","5","5",0,0,0,0.00133333333333333,0.998666666666667
"416","2","5",0,0,0,0.00922266139657444,0.990777338603426
"361","3","5",0,0,0.029639175257732,0.275773195876289,0.694587628865979
"2190","5","5",0,0,0,0,1
"2242","4","5",0,0,0,0,1
"2393","5","5",0,0,0,0,1
"2163","3","5",0,0,0,0,1
"1805","5","5",0,0.00683994528043776,0.0533515731874145,0.0136798905608755,0.926128590971272
"2230","4","5",0,0,0,0,1
"14","5","5",0,0,0.081989247311828,0.108870967741935,0.809139784946237
"2327","5","5",0,0,0,0,1
"1439","5","5",0,0,0,0,1
"1605","5","5",0,0,0.00137174211248285,0.0219478737997256,0.976680384087791
"144","5","5",0,0,0,0.00282087447108604,0.997179125528914
"1462","5","3",0,0.00133511348464619,0.46328437917223,0.222963951935915,0.31241655540721
"2302","4","5",0,0,0,0,1
"565","5","5",0,0,0.0354706684856753,0.313778990450205,0.65075034106412
"2259","5","5",0,0,0,0,1
"141","1","5",0,0,0,0.00137362637362637,0.998626373626374
"2382","5","5",0,0,0,0,1
"1819","5","5",0,0.00408719346049046,0.0599455040871935,0.0122615803814714,0.923705722070845
"1678","3","5",0,0,0,0,1
"1610","3","5",0,0,0,0.0315934065934066,0.968406593406593
"577","3","5",0,0,0.0298507462686567,0.301221166892809,0.668928086838535
"2428","3","5",0,0,0,0,1
"197","5","5",0,0,0,0,1
"352","3","5",0,0,0.244413407821229,0.0279329608938547,0.727653631284916
"1740","5","5",0,0,0,0.00132275132275132,0.998677248677249
"2166","4","5",0,0,0,0,1
"430","3","5",0,0,0.0288858321870702,0.295735900962861,0.675378266850069
"2363","3","5",0,0,0,0,1
"2545","3","5",0,0,0,0,1
"2553","4","5",0,0,0,0,1
"1907","1","3",0.0178082191780822,0.108219178082192,0.702739726027397,0.128767123287671,0.0424657534246575
"1827","4","5",0,0,0,0,1
"47","2","5",0,0,0.0501981505944518,0.1889035667107,0.760898282694848
"74","4","5",0,0,0,0,1
"1450","3","5",0,0,0,0,1
"446","5","5",0,0,0,0,1
"388","2","5",0,0,0,0,1
"22","1","5",0,0,0,0,1
"1945","5","5",0,0,0,0,1
"593","2","5",0,0,0,0,1
"636","3","5",0,0,0,0,1
"631","5","5",0,0,0,0,1
"1912","2","3",0.0963687150837989,0.0209497206703911,0.715083798882682,0.124301675977654,0.0432960893854749
"1591","5","5",0,0,0,0,1
"640","3","5",0,0,0,0,1
"1510","3","5",0,0,0,0.0213618157543391,0.978638184245661
"165","5","5",0,0,0,0,1
"1712","5","5",0,0,0,0,1
"248","5","5",0,0,0,0.00542005420054201,0.994579945799458
"2157","3","5",0,0,0.040595399188092,0.273342354533153,0.686062246278755
"2310","5","5",0,0,0,0,1
"1937","4","5",0,0,0.08,0.0573333333333333,0.862666666666667
"73","5","5",0,0,0,0,1
"1766","5","5",0,0,0,0.00134770889487871,0.998652291105121
"1498","5","5",0,0,0,0,1
"428","5","5",0,0,0.0431266846361186,0.295148247978437,0.661725067385445
"1794","5","5",0,0,0,0,1
"2270","4","5",0,0,0,0,1
"644","5","5",0,0,0.0456989247311828,0.309139784946237,0.645161290322581
"2067","5","5",0,0,0,0.0026246719160105,0.99737532808399
"1596","5","5",0,0,0,0,1
"454","4","5",0,0,0,0,1
"1927","5","5",0,0,0.0975609756097561,0.0907859078590786,0.811653116531165
"243","5","5",0,0,0,0.00557880055788006,0.99442119944212
"641","3","5",0,0,0.0308988764044944,0.299157303370786,0.669943820224719
"170","5","5",0,0,0,0,1
"659","3","5",0,0,0.0310391363022942,0.287449392712551,0.681511470985155
"344","3","5",0,0,0.236772486772487,0.0238095238095238,0.739417989417989
"2365","4","5",0,0,0,0,1
"2521","4","5",0,0.00134589502018843,0.423956931359354,0.142664872139973,0.432032301480485
"2512","3","5",0,0,0,0,1
"617","3","4",0,0.00276243093922652,0.146408839779006,0.738950276243094,0.111878453038674
"610","4","4",0,0.0040595399188092,0.278755074424898,0.60893098782138,0.108254397834912
"2492","4","4",0,0.00409836065573771,0.277322404371585,0.602459016393443,0.116120218579235
"483","3","3",0.00132100396301189,0.00792602377807133,0.66446499339498,0.171730515191546,0.154557463672391
"1906","4","3",0.0945757997218359,0.111265646731572,0.737134909596662,0.0278164116828929,0.0292072322670376
"447","4","5",0,0,0,0,1
"2177","2","5",0,0,0,0,1
"1689","5","5",0,0,0,0,1
"158","5","5",0,0,0,0.00277392510402219,0.997226074895978
"1759","5","5",0,0,0,0.0027359781121751,0.997264021887825
"164","5","5",0,0,0,0,1
"2559","4","5",0,0,0,0,1
"1642","3","5",0,0,0,0,1
"2014","3","5",0,0,0.00137362637362637,0.0192307692307692,0.979395604395604
"13","5","5",0,0,0.0818791946308725,0.087248322147651,0.830872483221477
"380","5","5",0,0,0.0361930294906166,0.308310991957105,0.655495978552279
"1612","2","5",0,0,0,0.0184921763869132,0.981507823613087
"1675","5","5",0,0,0,0,1
"190","5","5",0,0,0,0,1
"110","3","5",0,0,0.0447154471544715,0.16260162601626,0.792682926829268
"2094","4","5",0,0,0,0,1
"2533","3","5",0,0.00134589502018843,0.332436069986541,0.207267833109018,0.458950201884253
"1847","3","5",0,0,0,0,1
"240","5","5",0,0,0,0,1
"2224","5","5",0,0,0,0,1
"493","5","3",0.00134589502018843,0.0053835800807537,0.833109017496635,0.122476446837147,0.0376850605652759
"2379","5","5",0,0,0,0,1
"2033","5","5",0,0,0,0,1
"1946","4","5",0,0,0,0,1
"390","4","5",0,0,0,0,1
"1877","1","3",0.044,0,0.592,0.0453333333333333,0.318666666666667
"514","4","5",0,0,0,0,1
"2078","1","5",0,0,0,0.00137174211248285,0.998628257887517
"2064","5","5",0,0,0,0.00143061516452074,0.998569384835479
"2092","2","5",0,0,0,0,1
"1900","4","5",0,0,0.0402219140083218,0.263522884882108,0.69625520110957
"149","5","5",0,0,0,0.00135869565217391,0.998641304347826
"115","3","5",0,0,0.0460251046025105,0.170153417015342,0.783821478382148
"129","5","5",0.0349462365591398,0.010752688172043,0.0725806451612903,0.252688172043011,0.629032258064516
"1512","4","5",0,0,0.00136798905608755,0.0205198358413133,0.978112175102599
"92","4","5",0,0,0,0,1
"31","4","5",0,0,0,0,1
"2348","4","5",0,0.00130208333333333,0.419270833333333,0.134114583333333,0.4453125
"34","5","5",0,0,0,0,1
"2400","4","5",0,0,0,0,1
"444","5","5",0,0,0,0,1
"2313","4","5",0,0,0,0,1
"1869","5","3",0.129380053908356,0,0.621293800539084,0.0431266846361186,0.206199460916442
"56","4","5",0,0,0.0637450199203187,0.143426294820717,0.792828685258964
"2022","4","5",0,0,0,0,1
"2261","3","5",0,0,0,0,1
"2326","2","5",0,0,0,0,1
"1464","5","3",0,0,0.428010471204189,0.219895287958115,0.352094240837696
"46","5","5",0,0,0.0681198910081744,0.201634877384196,0.730245231607629
"1765","5","5",0,0,0,0.00832177531206657,0.991678224687933
"1598","4","5",0,0,0,0,1
"1534","3","5",0,0,0,0,1
"1925","5","5",0,0,0.108036890645586,0.100131752305665,0.791831357048748
"282","3","5",0,0,0,0.00134048257372654,0.998659517426273
"130","2","5",0.018716577540107,0,0.0481283422459893,0.169786096256685,0.763368983957219
"1762","4","5",0,0,0,0,1
"511","3","5",0,0,0,0,1
"332","4","5",0,0,0.0441558441558442,0.24025974025974,0.715584415584416
"2455","5","5",0,0,0,0,1
"1992","3","5",0,0,0,0,1
"1590","5","5",0,0,0,0,1
"1848","5","5",0,0,0,0,1
"1456","4","5",0,0,0,0,1
"1614","4","5",0,0,0.00137174211248285,0.00960219478737997,0.989026063100137
"72","4","5",0,0,0,0,1
"2176","4","5",0,0,0,0,1
"1669","3","5",0,0,0,0,1
"277","3","5",0,0,0,0,1
"171","5","5",0,0,0,0,1
"1560","2","5",0,0,0,0,1
"2519","5","5",0,0,0,0,1
"2413","4","5",0,0,0,0,1
"2481","4","4",0,0.00146412884333821,0.266471449487555,0.61493411420205,0.117130307467057
"522","5","5",0,0,0.0410396716826265,0.299589603283174,0.6593707250342
"289","4","5",0,0,0,0,1
"630","5","5",0,0,0,0,1
"1676","3","5",0,0,0,0,1
"7","4","5",0,0,0.0882740447957839,0.0527009222661397,0.859025032938076
"554","4","5",0,0,0.0455840455840456,0.257834757834758,0.696581196581197
"2063","5","5",0,0,0,0.0028735632183908,0.997126436781609
"394","5","5",0,0,0,0,1
"2531","2","5",0,0,0.403292181069959,0.168724279835391,0.42798353909465
"1680","3","5",0,0,0,0,1
"2249","3","5",0,0,0,0,1
"609","5","4",0,0.00409276944065484,0.242837653478854,0.682128240109141,0.0709413369713506
"385","3","5",0,0,0,0,1
"1655","1","5",0,0,0,0,1
"2227","5","5",0,0,0,0,1
"479","5","5",0,0,0.0431372549019608,0.30718954248366,0.649673202614379
"1403","3","5",0,0,0,0,1
"2454","4","5",0,0,0,0,1
"2041","4","5",0,0,0,0,1
"259","5","5",0,0,0,0.00706214689265537,0.992937853107345
"1435","2","5",0,0,0,0,1
"424","5","5",0,0,0.0360610263522885,0.289875173370319,0.674063800277393
"1736","5","5",0,0,0,0.00268456375838926,0.997315436241611
"2497","4","4",0,0.00409836065573771,0.274590163934426,0.612021857923497,0.109289617486339
"354","5","5",0,0,0.370512820512821,0.0282051282051282,0.601282051282051
"2020","5","5",0,0,0.00400534045393859,0.0280373831775701,0.967957276368491
"2409","3","5",0,0,0,0,1
"1617","5","5",0,0,0,0.0196592398427261,0.980340760157274
"1585","3","5",0,0,0,0,1
"1783","5","5",0,0,0,0,1
"359","5","5",0,0,0.398907103825137,0.0300546448087432,0.57103825136612
"635","3","5",0,0,0,0,1
"2453","3","5",0,0,0,0,1
"1468","3","5",0,0.00138504155124654,0.325484764542936,0.203601108033241,0.469529085872576
"2264","5","5",0,0,0,0,1
"399","4","5",0,0,0,0,1
"374","4","5",0,0,0.0488126649076517,0.233509234828496,0.717678100263852
"2215","5","5",0,0,0,0,1
"1882","4","5",0,0,0.0482573726541555,0.253351206434316,0.698391420911528
"378","3","5",0,0,0.0208333333333333,0.288888888888889,0.690277777777778
"1878","3","3",0.179521276595745,0,0.397606382978723,0.0585106382978723,0.36436170212766
"612","3","4",0,0.00412087912087912,0.15521978021978,0.725274725274725,0.115384615384615
"1641","5","5",0,0,0,0,1
"2096","3","5",0,0,0,0,1
"1454","5","5",0,0,0,0,1
"211","5","5",0,0,0.00263852242744063,0.0224274406332454,0.974934036939314
"1865","3","3",0.18007662835249,0,0.411238825031928,0.0561941251596424,0.352490421455939
"1976","5","5",0,0,0.00277008310249307,0.0318559556786704,0.965373961218837
"309","2","5",0,0,0,0,1
"358","3","5",0,0,0.240268456375839,0.0241610738255034,0.735570469798658
"1495","4","5",0,0,0,0,1
"1564","3","5",0,0,0.0467762326169406,0.171934260429836,0.781289506953224
"2415","5","5",0,0,0,0,1
"586","3","5",0,0,0,0,1
"488","3","3",0,0.010958904109589,0.686301369863014,0.143835616438356,0.158904109589041
"2051","4","5",0,0,0,0,1
"1787","2","5",0,0,0,0,1
"119","5","5",0,0,0.0613668061366806,0.210599721059972,0.728033472803347
